"Time (s)","Pressure (hPa)"
8.846000000E-2,1.017242676E3
1.684787500E-1,1.017235352E3
2.484584380E-1,1.017238281E3
3.284584380E-1,1.017223145E3
4.084631250E-1,1.017226074E3
4.884584380E-1,1.017218750E3
5.684787500E-1,1.017224609E3
6.484584380E-1,1.017221191E3
7.284584380E-1,1.017220703E3
8.084584380E-1,1.017226074E3
8.884584380E-1,1.017234375E3
9.684771880E-1,1.017259277E3
1.048458438E0,1.017256348E3
1.128460000E0,1.017249023E3
1.208458438E0,1.017243164E3
1.288458438E0,1.017240234E3
1.368477188E0,1.017248535E3
1.448458438E0,1.017250488E3
1.528458438E0,1.017255859E3
1.608458438E0,1.017264160E3
1.688458438E0,1.017267578E3
1.768478750E0,1.017263672E3
1.848458438E0,1.017247070E3
1.928458438E0,1.017275879E3
2.008458438E0,1.017272461E3
2.088458438E0,1.017271973E3
2.168477188E0,1.017286133E3
2.248458438E0,1.017292969E3
2.328458438E0,1.017292480E3
2.408458438E0,1.017306152E3
2.488458438E0,1.017296875E3
2.568477188E0,1.017285645E3
2.648458438E0,1.017274902E3
2.728458438E0,1.017293457E3
2.808458438E0,1.017322266E3
2.888458438E0,1.017335449E3
2.968477188E0,1.017306641E3
3.048460000E0,1.017277832E3
3.128458438E0,1.017266602E3
3.208458438E0,1.017260254E3
3.288458438E0,1.017258789E3
3.368477188E0,1.017279297E3
3.448458438E0,1.017285156E3
3.528458438E0,1.017265625E3
3.608458438E0,1.017274414E3
3.688458438E0,1.017280273E3
3.768477188E0,1.017280273E3
3.848458438E0,1.017276367E3
3.928458438E0,1.017279785E3
4.008458438E0,1.017293457E3
4.088458438E0,1.017295410E3
4.168477188E0,1.017277832E3
4.248458438E0,1.017261719E3
4.328458438E0,1.017271973E3
4.408458438E0,1.017273438E3
4.488458438E0,1.017292969E3
4.568477188E0,1.017298828E3
4.648458438E0,1.017283203E3
4.728458438E0,1.017266602E3
4.808463125E0,1.017262695E3
4.888460000E0,1.017264160E3
4.968477188E0,1.017264160E3
5.048458438E0,1.017268555E3
5.128458438E0,1.017273438E3
5.208458438E0,1.017270020E3
5.288458438E0,1.017282227E3
5.368477188E0,1.017283203E3
5.448458438E0,1.017286621E3
5.528458438E0,1.017263184E3
5.608458438E0,1.017278320E3
5.688458438E0,1.017307129E3
5.768477188E0,1.017279785E3
5.848458438E0,1.017263672E3
5.928458438E0,1.017271973E3
6.008458438E0,1.017260254E3
6.088458438E0,1.017262695E3
6.168477188E0,1.017269043E3
6.248458438E0,1.017281250E3
6.328458438E0,1.017285645E3
6.408458438E0,1.017275879E3
6.488458438E0,1.017270508E3
6.568477188E0,1.017273438E3
6.648458438E0,1.017270996E3
6.728458438E0,1.017289062E3
6.808458438E0,1.017314941E3
6.888458438E0,1.017291992E3
6.968477188E0,1.017277344E3
7.048458438E0,1.017282227E3
7.128458438E0,1.017275391E3
7.208458438E0,1.017276855E3
7.288458438E0,1.017290039E3
7.368477188E0,1.017299316E3
7.448458438E0,1.017286133E3
7.528458438E0,1.017284180E3
7.608458438E0,1.017268066E3
7.688458438E0,1.017262207E3
7.768477188E0,1.017256348E3
7.848458438E0,1.017257324E3
7.928458438E0,1.017284668E3
8.008458438E0,1.017265625E3
8.088458438E0,1.017254883E3
8.168477188E0,1.017253418E3
8.248458438E0,1.017253906E3
8.328458438E0,1.017259277E3
8.408458438E0,1.017269531E3
8.488458438E0,1.017291504E3
8.568477188E0,1.017286133E3
8.648458438E0,1.017270508E3
8.728458438E0,1.017259766E3
8.808458438E0,1.017253418E3
8.888458438E0,1.017259277E3
8.968477188E0,1.017283203E3
9.048458438E0,1.017283203E3
9.128458438E0,1.017280762E3
9.208458438E0,1.017276855E3
9.288456875E0,1.017277832E3
9.368477188E0,1.017282715E3
9.448458438E0,1.017281738E3
9.528458438E0,1.017292969E3
9.608458438E0,1.017302246E3
9.688458438E0,1.017272949E3
9.768478750E0,1.017269531E3
9.848460000E0,1.017273926E3
9.928463125E0,1.017270996E3
1.000845844E1,1.017269531E3
1.008845844E1,1.017274902E3
1.016847719E1,1.017283203E3
1.024845844E1,1.017273438E3
1.032846000E1,1.017280273E3
1.040845844E1,1.017266113E3
1.048845844E1,1.017252441E3
1.056847719E1,1.017273926E3
1.064845844E1,1.017289551E3
1.072845844E1,1.017284180E3
1.080845844E1,1.017289551E3
1.088845844E1,1.017278809E3
1.096847719E1,1.017270508E3
1.104845844E1,1.017285156E3
1.112845844E1,1.017299805E3
1.120845844E1,1.017303223E3
1.128845844E1,1.017296875E3
1.136847719E1,1.017286621E3
1.144845844E1,1.017286621E3
1.152845844E1,1.017285156E3
1.160845844E1,1.017279297E3
1.168845844E1,1.017287598E3
1.176847875E1,1.017297852E3
1.184845844E1,1.017282227E3
1.192845844E1,1.017279785E3
1.200845844E1,1.017271484E3
1.208846000E1,1.017262695E3
1.216847719E1,1.017260742E3
