"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.646156200E-2,-2.262500000E1,-6.437500000E0,-4.550000000E1
5.646156200E-2,-2.218750000E1,-6.062500000E0,-4.562500000E1
7.647093700E-2,-2.225000000E1,-5.437500000E0,-4.575000000E1
1.064615620E-1,-2.212500000E1,-4.250000000E0,-4.593750000E1
1.264615620E-1,-2.293750000E1,-3.250000000E0,-4.531250000E1
1.464615620E-1,-2.512500000E1,-1.937500000E0,-4.431250000E1
1.764646870E-1,-2.875000000E1,-3.125000000E-1,-4.181250000E1
2.064615620E-1,-3.000000000E1,1.250000000E0,-4.050000000E1
2.364600000E-1,-3.000000000E1,2.687500000E0,-4.031250000E1
2.564600000E-1,-3.000000000E1,3.875000000E0,-4.000000000E1
2.764646870E-1,-3.031250000E1,5.125000000E0,-3.937500000E1
3.064600000E-1,-3.125000000E1,6.500000000E0,-3.850000000E1
3.264693750E-1,-3.225000000E1,7.500000000E0,-3.768750000E1
3.564615620E-1,-3.362500000E1,9.187500000E0,-3.712500000E1
3.764646870E-1,-3.431250000E1,1.006250000E1,-3.637500000E1
4.064600000E-1,-3.475000000E1,1.100000000E1,-3.556250000E1
4.264615620E-1,-3.493750000E1,1.143750000E1,-3.525000000E1
4.564600000E-1,-3.437500000E1,1.193750000E1,-3.531250000E1
4.764600000E-1,-3.437500000E1,1.231250000E1,-3.525000000E1
4.964600000E-1,-3.431250000E1,1.243750000E1,-3.550000000E1
5.164631250E-1,-3.418750000E1,1.200000000E1,-3.568750000E1
5.464600000E-1,-3.362500000E1,1.168750000E1,-3.637500000E1
5.664600000E-1,-3.306250000E1,1.162500000E1,-3.687500000E1
5.864600000E-1,-3.256250000E1,1.175000000E1,-3.712500000E1
6.064600000E-1,-3.218750000E1,1.243750000E1,-3.718750000E1
6.264600000E-1,-3.225000000E1,1.256250000E1,-3.700000000E1
6.464615620E-1,-3.206250000E1,1.262500000E1,-3.681250000E1
6.764600000E-1,-3.131250000E1,1.325000000E1,-3.706250000E1
6.964600000E-1,-3.100000000E1,1.318750000E1,-3.737500000E1
7.164615620E-1,-3.025000000E1,1.350000000E1,-3.762500000E1
7.364615620E-1,-2.956250000E1,1.387500000E1,-3.843750000E1
7.564615620E-1,-2.925000000E1,1.368750000E1,-3.918750000E1
7.764615620E-1,-2.875000000E1,1.412500000E1,-3.975000000E1
8.064600000E-1,-2.825000000E1,1.443750000E1,-4.068750000E1
8.264600000E-1,-2.781250000E1,1.456250000E1,-4.075000000E1
8.464615620E-1,-2.718750000E1,1.500000000E1,-4.062500000E1
8.664615620E-1,-2.612500000E1,1.481250000E1,-4.112500000E1
8.964600000E-1,-2.518750000E1,1.506250000E1,-4.106250000E1
9.164600000E-1,-2.500000000E1,1.556250000E1,-4.106250000E1
9.364600000E-1,-2.443750000E1,1.531250000E1,-4.137500000E1
9.564600000E-1,-2.437500000E1,1.506250000E1,-4.175000000E1
9.764600000E-1,-2.431250000E1,1.518750000E1,-4.193750000E1
9.964615620E-1,-2.443750000E1,1.481250000E1,-4.187500000E1
