"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.400000000E-2,-1.209999993E-1,4.818999767E-1,-4.913999736E-1
5.400000000E-2,-2.134999931E-1,4.800999761E-1,-3.161999881E-1
8.400000000E-2,-7.859999686E-2,3.316999972E-1,-4.536999762E-1
1.040000000E-1,-5.599999800E-3,2.155999988E-1,9.189999849E-2
1.240000000E-1,-1.973000020E-1,8.769999444E-2,-6.430000067E-2
1.440062500E-1,-2.113999873E-1,-1.370000001E-2,-7.750000060E-2
1.740000000E-1,2.500000000E-1,-2.987000048E-1,-1.712999940E-1
2.040000000E-1,-3.249999881E-2,7.739999890E-2,-1.327999979E-1
2.339984380E-1,8.679999411E-2,3.629999980E-2,-1.702999920E-1
2.539984380E-1,1.668999940E-1,-7.809999585E-2,-7.939999551E-2
2.740000000E-1,1.379999965E-1,-1.344999969E-1,-1.260000020E-1
2.940031250E-1,1.999999862E-3,-8.909999579E-2,-1.179999951E-2
3.239984380E-1,2.265999913E-1,-1.650999933E-1,7.849999517E-2
3.440015630E-1,4.889999703E-2,-1.230999976E-1,-6.740000099E-2
3.740000000E-1,2.771999836E-1,-1.132999957E-1,-4.746999741E-1
3.940015630E-1,1.072999984E-1,-4.050000012E-2,-1.797999889E-1
4.240000000E-1,1.387999952E-1,3.999999724E-3,-3.188999891E-1
4.440031250E-1,-8.839999884E-2,7.539999485E-2,-1.739999950E-1
4.739984380E-1,1.673000008E-1,9.719999880E-2,-1.791999936E-1
4.940078130E-1,-4.600000009E-2,6.319999695E-2,-3.129000068E-1
5.239984380E-1,-1.148199916E0,7.725999951E-1,3.303000033E-1
5.440031250E-1,-1.496500015E0,1.180699944E0,2.451400042E0
5.739984380E-1,-8.736999631E-1,7.658999562E-1,-2.359999903E-2
5.939984380E-1,9.208999872E-1,-1.393000036E-1,-8.865999579E-1
6.140000000E-1,1.518700004E0,-4.905999899E-1,-1.483199954E0
6.340000000E-1,1.339399934E0,-6.261000037E-1,-1.557199955E0
6.640000000E-1,2.407999933E-1,-2.043000013E-1,6.929999590E-1
6.840015630E-1,4.786999822E-1,-9.104999900E-1,2.917000055E-1
7.140000000E-1,-3.649999797E-1,4.012999833E-1,-1.289799929E0
7.340062500E-1,-4.099999964E-1,6.122999787E-1,-8.731999993E-1
7.639984380E-1,-3.096999824E-1,3.495000005E-1,3.695999980E-1
7.840046880E-1,9.390999675E-1,-8.219999671E-1,8.592999578E-1
8.139984380E-1,1.374699950E0,-4.345999956E-1,-1.653399944E0
8.340125000E-1,3.411999941E-1,4.596000016E-1,-1.635899901E0
8.639984380E-1,1.796199918E0,-1.145900011E0,4.129999876E-2
8.840031250E-1,1.017899990E0,-2.009399891E0,2.069000006E-1
9.140000000E-1,2.919999957E-1,9.999999776E-3,-3.304399967E0
9.340031250E-1,5.740999579E-1,-8.090999722E-1,-4.614999771E0
9.639984380E-1,1.504099965E0,-5.634999871E-1,-3.641799927E0
9.840000000E-1,2.101799965E0,6.715999842E-1,-2.808799982E0
1.013998438E0,2.521600008E0,8.357999921E-1,-2.067499876E0
1.034003125E0,2.528300047E0,-1.084499955E0,-1.098699927E0
1.064000000E0,-1.539499998E0,-1.081699967E0,-1.312699914E0
1.084006250E0,-2.283400059E0,-1.876299977E0,-3.152400017E0
1.114000000E0,-4.499899864E0,-1.879599929E0,-2.360699892E0
1.134001563E0,-7.936699867E0,-3.195299864E0,-1.304700017E0
1.163998438E0,-7.160799980E0,-3.523899794E0,-2.309000015E0
1.184001563E0,-3.366299868E0,-2.924799919E0,-2.933899879E0
1.213998438E0,-2.307600021E0,-3.295399904E0,-4.781000018E-1
1.234003125E0,-1.516399980E0,-4.154699802E0,9.088999629E-1
1.263998438E0,4.062999725E0,-3.784600019E0,2.551999986E-1
1.284004688E0,6.532499790E0,-2.813099861E0,2.764799833E0
1.313998438E0,6.178699970E0,-2.617799997E0,4.369999841E-2
1.333998438E0,7.345999718E0,-3.240399837E0,2.097100019E0
1.354000000E0,7.426699638E0,-2.599400043E0,5.260399818E0
1.374000000E0,5.306399822E0,-3.518999815E-1,1.933599949E0
1.404000000E0,3.564800024E0,1.557599902E0,-1.589999914E0
1.424000000E0,-2.715699911E0,-6.597999930E-1,1.174399972E0
1.453998438E0,-3.710799932E0,8.730999827E-1,2.917500019E0
1.473998438E0,-3.748099804E0,1.485099912E0,3.858799934E0
1.494000000E0,-1.624499917E0,2.281199932E0,3.689299822E0
1.523998438E0,2.505999804E-1,2.010299921E0,3.978899956E0
1.543998438E0,1.248499990E0,1.967399955E0,3.862699986E0
1.564000000E0,2.618899822E0,2.179600000E0,2.357399940E0
1.584001563E0,3.929499865E0,1.883099914E0,1.277999997E0
1.613998438E0,4.838500023E0,1.546399951E0,1.070999950E-1
1.633998438E0,4.534199715E0,1.015100002E0,-9.200000204E-3
1.653998438E0,4.729300022E0,9.730999470E-1,-7.393999696E-1
1.673998438E0,4.921000004E0,1.136399984E0,-1.684199929E0
1.693998438E0,4.513199806E0,6.908999681E-1,-1.464499950E0
1.714000000E0,2.533399820E0,2.827000022E-1,-7.850999832E-1
1.743998438E0,1.208999977E-1,2.139999904E-2,-6.270999908E-1
1.763998438E0,-3.746999800E-1,2.483999878E-1,-9.185000062E-1
1.783998438E0,5.425999761E-1,8.989999443E-2,-2.874999940E-1
1.803998438E0,1.105799913E0,-3.603999913E-1,3.766999841E-1
1.823998438E0,1.190799952E0,-5.611999631E-1,7.080999613E-1
1.844000000E0,1.643099904E0,-4.430999756E-1,1.092999950E-1
1.873998438E0,2.583099842E0,-2.214999944E-1,4.925999939E-1
1.893998438E0,2.051399946E0,6.780000031E-2,6.590999961E-1
1.914000000E0,1.759199977E0,2.364999950E-1,-1.215000004E-1
1.943998438E0,2.848099947E0,5.133999586E-1,1.385900021E0
1.963998438E0,2.566999793E-1,1.835299969E0,-8.011999726E-1
1.984000000E0,-1.151000023E0,3.323999882E0,-2.634299994E0
2.013998438E0,3.272999823E-1,2.901799917E0,1.264999956E-1
2.033998438E0,-1.195999980E-1,2.450299978E0,4.708999991E-1
2.054000000E0,1.421199918E0,2.193799973E0,-1.877999902E-1
2.074000000E0,3.378399849E0,2.023200035E0,-3.079999983E-1
2.103998438E0,3.241499901E0,8.195999861E-1,6.870999932E-1
2.124000000E0,1.982199907E0,8.266999722E-1,2.983500004E0
2.154000000E0,-2.493000031E0,7.895999551E-1,4.165899754E0
2.184000000E0,-6.517099857E0,-1.831900001E0,5.447499752E0
2.213998438E0,-1.168419933E1,-2.806399822E0,2.766700029E0
2.233998438E0,-9.350500107E0,-2.397699833E0,-1.458599925E0
2.254000000E0,-5.154999733E0,-3.538299799E0,-2.519000053E0
2.274000000E0,-2.608299971E0,-1.121399999E0,-8.189399719E0
2.294003125E0,-1.262999922E-1,-1.034299970E0,-2.656499863E0
2.323998438E0,7.471799850E0,-3.281499863E0,1.736899972E0
2.344004688E0,8.942699432E0,-2.325399876E0,-7.062999606E-1
2.373998438E0,5.618499756E0,1.349299908E0,-7.079999894E-2
2.393998438E0,7.190999985E-1,4.286099911E0,3.684999943E-1
2.414000000E0,-2.825099945E0,2.887899876E0,-9.770999551E-1
2.434001563E0,-4.345799923E0,1.497099996E0,3.641999960E-1
2.463998438E0,-8.491899490E0,5.180999637E-1,-1.469399929E0
2.484000000E0,-6.448299885E0,1.252999902E-1,1.442999989E-1
2.513998438E0,-3.896399975E0,-1.918799996E0,1.399799943E0
2.533998438E0,-5.940999985E-1,-2.262399912E0,2.175199986E0
2.554000000E0,6.784999967E-1,1.413999945E-1,2.030200005E0
2.583998438E0,2.114300013E0,2.912099838E0,2.009000063E0
2.603998438E0,3.695999861E0,5.830599785E0,1.389500022E0
2.623998438E0,3.592700005E0,6.104399681E0,1.655099988E0
2.644000000E0,1.735000014E0,6.760999680E0,1.162199974E0
2.673998438E0,1.948199987E0,7.231000066E-1,2.408799887E0
2.693998438E0,-5.513400078E0,-1.364099979E1,1.503299952E0
2.714000000E0,-1.787899971E0,-2.298390007E1,1.656000018E-1
2.743998438E0,1.192700028E0,-1.030760002E1,-3.571999967E-1
2.763998438E0,-2.764999866E0,2.152499914E0,5.346999764E-1
2.783998438E0,-9.957000017E-1,5.853899956E0,3.650999963E-1
2.803998438E0,-6.284999847E-1,5.838599682E0,1.213099957E0
2.823998438E0,-7.375999689E-1,3.351500034E0,2.441799879E0
2.844000000E0,-1.690400004E0,1.097499967E0,-8.280000091E-2
2.873998438E0,-2.606999874E-1,-2.274799824E0,-8.420999527E0
2.893998438E0,7.189999819E-1,-1.152099967E0,-3.549799919E0
2.913998438E0,1.456099987E0,-6.416000128E-1,-3.224000037E-1
2.933998438E0,2.516799927E0,-6.667000055E-1,1.166899920E0
2.953998438E0,1.990599990E0,3.102000058E-1,7.129999995E-1
2.973998438E0,2.884799957E0,-4.036999941E-1,6.223999858E-1
2.994000000E0,3.043999910E0,-1.039499998E0,7.076999545E-1
3.023998438E0,3.560299873E0,-7.994999886E-1,1.236599922E0
3.043998438E0,4.417999744E0,-1.085199952E0,2.429999970E-2
3.064000000E0,5.289099693E0,-2.121299982E0,-4.989699841E0
3.093998438E0,4.514599800E0,-2.866299868E0,-3.707299948E0
3.114000000E0,4.338200092E0,-3.698799849E0,-2.759000063E-1
3.134000000E0,2.427799940E0,-3.886899948E0,-1.095199943E0
3.154000000E0,-2.086499929E0,-4.606599808E0,-5.240999699E0
3.174000000E0,-3.546199799E0,-3.808499813E0,-5.335299969E0
3.204000000E0,-1.225799918E0,-1.834699988E0,-2.901199818E0
3.233998438E0,1.801999956E-1,-2.835299969E0,1.795799971E0
