"Time (s)","X (hPa)"
-5.376684584E-1,1.017258377E3
4.913305417E-1,1.017255249E3
1.520351542E0,1.017252121E3
2.549436542E0,1.017248688E3
3.578518542E0,1.017248535E3
3.775945542E0,1.017248535E3
4.838171542E0,1.017247238E3
5.900391542E0,1.017247238E3
6.962654541E0,1.017249146E3
8.024908542E0,1.017252350E3
9.087194542E0,1.017255325E3
1.014944354E1,1.017259293E3
1.121163354E1,1.017262497E3
1.227385154E1,1.017263870E3
1.333607654E1,1.017265015E3
1.439834154E1,1.017265015E3
1.546063254E1,1.017264481E3
1.652289954E1,1.017264481E3
1.758520254E1,1.017264175E3
1.864748154E1,1.017263489E3
1.970978554E1,1.017263336E3
2.077202254E1,1.017263336E3
2.183429554E1,1.017264709E3
2.289656954E1,1.017265167E3
2.395887054E1,1.017265167E3
2.502114954E1,1.017265778E3
2.608340054E1,1.017265778E3
2.714566554E1,1.017263718E3
2.820794054E1,1.017261353E3
2.927028154E1,1.017256699E3
3.033259754E1,1.017253799E3
3.139489654E1,1.017248611E3
3.245718654E1,1.017245789E3
3.351947154E1,1.017242508E3
3.458178254E1,1.017241745E3
3.564410154E1,1.017239456E3
3.670638954E1,1.017238388E3
3.776872254E1,1.017237778E3
3.883105454E1,1.017234802E3
3.989341154E1,1.017233429E3
4.095575154E1,1.017231979E3
4.201811154E1,1.017231293E3
4.308044154E1,1.017229538E3
4.414278154E1,1.017229156E3
4.520512654E1,1.017228928E3
4.626743654E1,1.017228394E3
4.732976854E1,1.017228088E3
4.839209054E1,1.017227325E3
4.945443454E1,1.017227707E3
5.051674854E1,1.017227097E3
5.157908354E1,1.017226715E3
5.264139654E1,1.017224884E3
5.370375654E1,1.017224808E3
5.476614654E1,1.017224579E3
5.582845454E1,1.017221832E3
5.689072954E1,1.017220917E3
5.795298254E1,1.017220764E3
5.901524454E1,1.017219696E3
6.007751154E1,1.017219696E3
6.113983554E1,1.017219925E3
6.220218454E1,1.017219925E3
6.326450354E1,1.017220078E3
6.432684654E1,1.017220306E3
6.538916854E1,1.017220306E3
6.645149854E1,1.017219772E3
6.751381954E1,1.017218246E3
6.857613954E1,1.017216492E3
6.963845354E1,1.017215042E3
7.070074554E1,1.017213211E3
7.176300854E1,1.017212143E3
7.282529754E1,1.017210693E3
7.388756254E1,1.017210464E3
7.494984854E1,1.017209625E3
7.601213154E1,1.017208939E3
7.707444854E1,1.017206497E3
7.813677854E1,1.017205353E3
7.919911854E1,1.017203293E3
8.026144354E1,1.017201767E3
8.132374654E1,1.017199097E3
8.238606454E1,1.017196732E3
8.344836554E1,1.017195282E3
8.451063654E1,1.017194443E3
8.557293854E1,1.017194443E3
8.663525254E1,1.017195435E3
8.769752854E1,1.017196274E3
8.875979954E1,1.017197037E3
8.982207354E1,1.017198257E3
9.088434654E1,1.017198257E3
9.194662854E1,1.017196808E3
9.300891554E1,1.017194824E3
9.407115654E1,1.017193451E3
9.513344854E1,1.017192535E3
9.619576354E1,1.017189789E3
9.725800254E1,1.017187881E3
9.832024654E1,1.017185669E3
9.938249254E1,1.017185364E3
1.004447825E2,1.017183914E3
1.015070485E2,1.017183914E3
1.025693195E2,1.017185593E3
1.036315735E2,1.017185593E3
1.046937965E2,1.017185822E3
1.057560765E2,1.017185822E3
1.068183675E2,1.017187653E3
1.078806765E2,1.017188568E3
1.089429135E2,1.017189331E3
1.100051685E2,1.017190170E3
1.110674375E2,1.017190475E3
1.121297245E2,1.017190475E3
1.131920175E2,1.017192154E3
1.142542785E2,1.017192535E3
1.153165625E2,1.017192535E3
1.163788885E2,1.017191925E3
1.174411745E2,1.017191925E3
1.185034745E2,1.017189636E3
1.195657325E2,1.017187653E3
1.206279935E2,1.017187119E3
1.216902415E2,1.017183228E3
1.227525035E2,1.017180786E3
1.238147865E2,1.017177200E3
1.248770575E2,1.017173233E3
1.259392995E2,1.017171478E3
1.270015225E2,1.017171249E3
1.280637595E2,1.017171249E3
1.291260035E2,1.017172165E3
1.301882185E2,1.017173615E3
1.312504025E2,1.017175751E3
1.323126115E2,1.017180557E3
1.333748135E2,1.017182693E3
1.344370405E2,1.017184296E3
1.354992555E2,1.017186203E3
1.365614785E2,1.017186279E3
1.376237035E2,1.017186279E3
1.386859155E2,1.017185822E3
1.397481065E2,1.017184372E3
1.408103115E2,1.017182388E3
1.418725275E2,1.017181625E3
1.429347555E2,1.017181244E3
