"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.668835100689905E9,"2022-11-19 13:18:20.690 UTC+08:00"
"PAUSE",1.001468566671247E1,1.668835110704338E9,"2022-11-19 13:18:30.704 UTC+08:00"
"START",1.001468566671247E1,1.668835140174287E9,"2022-11-19 13:19:00.174 UTC+08:00"
"PAUSE",1.600224012500839E2,1.668835290178418E9,"2022-11-19 13:21:30.178 UTC+08:00"
"START",1.600224012500839E2,1.668835471702243E9,"2022-11-19 13:24:31.702 UTC+08:00"
"PAUSE",3.100369661667501E2,1.668835621713012E9,"2022-11-19 13:27:01.713 UTC+08:00"
"START",3.100369661667501E2,1.668835642360252E9,"2022-11-19 13:27:22.360 UTC+08:00"
"PAUSE",4.600433293750975E2,1.668835792362833E9,"2022-11-19 13:29:52.363 UTC+08:00"
"START",4.600433293750975E2,1.668835804903602E9,"2022-11-19 13:30:04.904 UTC+08:00"
"PAUSE",5.545652618751046E2,1.668835899423061E9,"2022-11-19 13:31:39.423 UTC+08:00"
