"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.531204700E-2,3.211269593E1,1.189516742E2,1.306241226E1,-1.000000000E0,-1.000000000E0,2.537540642E2,2.537540642E2
8.194199800E-1,3.211298169E1,1.189521980E2,1.578696537E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.247847199E0,3.211477566E1,1.189526684E2,1.116272855E2,0.000000000E0,-1.000000000E0,2.629288049E1,2.629288049E1
3.247822285E0,3.211343527E1,1.189521172E2,1.672617508E1,0.000000000E0,-1.000000000E0,1.682285677E1,1.682285677E1
4.247796655E0,3.211308401E1,1.189519626E2,1.543511436E1,0.000000000E0,1.629773704E2,9.821828031E0,9.821828031E0
5.244408250E0,3.211297445E1,1.189519161E2,1.558181662E1,0.000000000E0,-1.000000000E0,8.921994721E0,8.921994721E0
6.244383454E0,3.211290617E1,1.189518931E2,1.673195062E1,1.581153750E0,8.981148928E1,9.001326752E0,9.001326752E0
7.244356275E0,3.211285566E1,1.189518829E2,1.663079046E1,1.429878592E0,8.250221015E1,6.206000653E0,6.206000653E0
8.311329246E0,3.211280807E1,1.189518676E2,1.615304723E1,1.429878592E0,8.687586715E1,4.405139384E0,4.405139384E0
9.311303973E0,3.211278540E1,1.189518743E2,1.579782576E1,1.298745036E0,9.063586580E1,3.724294068E0,3.724294068E0
1.031127822E1,3.211278031E1,1.189518965E2,1.570414289E1,1.298745036E0,8.596475406E1,3.411119582E0,3.411119582E0
1.131125307E1,3.211277851E1,1.189519189E2,1.562738890E1,1.420106888E0,8.742405130E1,3.149424580E0,3.149424580E0
1.231122744E1,3.211277886E1,1.189519357E2,1.549496730E1,1.420106888E0,9.046675031E1,3.033200706E0,3.033200706E0
1.331120265E1,3.211278081E1,1.189519509E2,1.555597073E1,1.248967648E0,8.322457096E1,3.238006785E0,3.238006785E0
1.431117678E1,3.211278214E1,1.189519641E2,1.555597086E1,1.248967648E0,8.322457795E1,4.716375338E0,4.716375338E0
1.531115043E1,3.211278487E1,1.189519802E2,1.564561267E1,1.248967648E0,8.052903691E1,4.749740510E0,4.749740510E0
1.631112587E1,3.211278745E1,1.189519993E2,1.568562263E1,1.411274552E0,8.007714566E1,4.763705757E0,4.763705757E0
1.731110013E1,3.211278916E1,1.189520182E2,1.572030053E1,1.504614949E0,8.360308798E1,4.782094812E0,4.782094812E0
1.831107473E1,3.211279113E1,1.189520349E2,1.572973133E1,1.531027198E0,8.309426634E1,4.806315470E0,4.806315470E0
1.931104887E1,3.211279271E1,1.189520527E2,1.571019541E1,1.511147857E0,8.411318704E1,4.811910202E0,4.811910202E0
2.031102252E1,3.211279459E1,1.189520668E2,1.574415433E1,1.511147857E0,8.398064039E1,4.824630948E0,4.824630948E0
2.131099904E1,3.211279438E1,1.189520810E2,1.568470494E1,1.481601119E0,8.751904025E1,4.840984834E0,4.840984834E0
2.231097293E1,3.211279351E1,1.189520948E2,1.542306081E1,1.425952315E0,8.654792363E1,4.767450701E0,4.767450701E0
2.331094706E1,3.211279694E1,1.189521100E2,1.546563508E1,1.462943792E0,8.112254057E1,4.781752162E0,4.781752162E0
2.431092203E1,3.211281363E1,1.189521230E2,1.612221080E1,1.462943792E0,7.941200845E1,4.733680801E0,4.733680801E0
2.531089520E1,3.211281527E1,1.189521378E2,1.604399046E1,1.486887932E0,7.907436500E1,4.761836078E0,4.761836078E0
2.631087041E1,3.211281725E1,1.189521550E2,1.596728980E1,1.520221591E0,7.848803441E1,4.768929100E0,4.768929100E0
2.731084549E1,3.211281791E1,1.189521716E2,1.588951366E1,1.509492755E0,8.058468391E1,4.784918273E0,4.784918273E0
2.831081927E1,3.211281996E1,1.189521861E2,1.587778646E1,1.510085821E0,8.056904961E1,4.793978896E0,4.793978896E0
2.931079352E1,3.211282176E1,1.189522007E2,1.579928157E1,1.509492755E0,7.949837645E1,4.797585194E0,4.797585194E0
3.031076849E1,3.211282521E1,1.189522150E2,1.572014803E1,1.479675293E0,7.803716655E1,4.802070868E0,4.802070868E0
3.131074286E1,3.211282653E1,1.189522293E2,1.560145721E1,1.476325512E0,7.991567351E1,4.753292018E0,4.753292018E0
3.231071711E1,3.211282758E1,1.189522457E2,1.558165050E1,1.476645470E0,7.608188822E1,4.728244758E0,4.728244758E0
3.331069195E1,3.211282853E1,1.189522615E2,1.547754573E1,1.478821993E0,7.785023110E1,4.748960223E0,4.748960223E0
3.431066632E1,3.211283621E1,1.189522850E2,1.487694803E1,1.248085809E0,8.342236541E1,4.798645880E0,4.798645880E0
3.531064117E1,3.211283840E1,1.189523012E2,1.500891099E1,1.350011372E0,7.788499956E1,4.796546003E0,4.796546003E0
3.631061542E1,3.211283892E1,1.189523185E2,1.482785964E1,1.394201662E0,8.223343347E1,4.793736593E0,4.793736593E0
3.731058931E1,3.211283898E1,1.189523256E2,1.471758162E1,1.387853908E0,8.486752872E1,4.751019486E0,4.751019486E0
3.831056356E1,3.211284361E1,1.189523387E2,1.458371282E1,1.236281319E0,7.883187050E1,4.753709684E0,4.753709684E0
3.931053841E1,3.211284425E1,1.189523529E2,1.455817358E1,1.203927961E0,8.177347107E1,4.755544025E0,4.755544025E0
4.031051290E1,3.211284920E1,1.189523697E2,1.452909528E1,1.318658850E0,7.976355790E1,4.755615905E0,4.755615905E0
4.131048834E1,3.211285312E1,1.189523841E2,1.453458341E1,1.203561868E0,7.534637174E1,4.755520631E0,4.755520631E0
4.231046271E1,3.211286111E1,1.189524015E2,1.426441346E1,1.364508298E0,7.525046631E1,4.755800137E0,4.755800137E0
4.331043661E1,3.211286087E1,1.189524193E2,1.409625719E1,1.431291892E0,8.707472815E1,4.751155548E0,4.751155548E0
4.431041217E1,3.211286384E1,1.189524283E2,1.418306845E1,1.103143692E0,8.458798332E1,4.750682315E0,4.750682315E0
4.531038594E1,3.211286690E1,1.189524439E2,1.432124849E1,1.179542457E0,8.096735613E1,4.754536566E0,4.754536566E0
4.631036067E1,3.211286985E1,1.189524576E2,1.406293382E1,1.202828134E0,7.774533516E1,4.756905230E0,4.756905230E0
4.731033492E1,3.211286805E1,1.189524697E2,1.386065977E1,1.057472072E0,8.070123212E1,4.758302271E0,4.758302271E0
4.831030869E1,3.211286771E1,1.189524818E2,1.370026795E1,9.934617221E-1,8.444730403E1,4.758819893E0,4.758819893E0
4.931028378E1,3.211287058E1,1.189524972E2,1.384962943E1,1.030228861E0,8.343822851E1,4.750925177E0,4.750925177E0
5.031025791E1,3.211287022E1,1.189525137E2,1.404752727E1,1.245914389E0,8.465422855E1,4.745228318E0,4.745228318E0
5.131023276E1,3.211287345E1,1.189525291E2,1.413875337E1,1.252128374E0,8.158845357E1,4.745758992E0,4.745758992E0
5.231020832E1,3.211287781E1,1.189525489E2,1.420683597E1,1.484629352E0,7.695415837E1,4.739254533E0,4.739254533E0
5.331018138E1,3.211288118E1,1.189525635E2,1.380891855E1,1.457454147E0,7.687359542E1,4.738921615E0,4.738921615E0
5.431015635E1,3.211288292E1,1.189525800E2,1.383899172E1,1.468238571E0,8.188197903E1,4.733492616E0,4.733492616E0
5.531012976E1,3.211288706E1,1.189525961E2,1.406863960E1,1.497905935E0,7.889263241E1,4.731185326E0,4.731185326E0
5.631010532E1,3.211288891E1,1.189526122E2,1.427622769E1,1.512583040E0,7.915598769E1,4.730019908E0,4.730019908E0
5.731007981E1,3.211289125E1,1.189526284E2,1.415901446E1,1.503819079E0,7.965240181E1,4.728921472E0,4.728921472E0
5.831005406E1,3.211289095E1,1.189526443E2,1.426037183E1,1.502765440E0,8.233814444E1,4.731060264E0,4.731060264E0
5.931002843E1,3.211289082E1,1.189526591E2,1.436776705E1,1.420737787E0,8.588888094E1,4.735193423E0,4.735193423E0
6.031000316E1,3.211289266E1,1.189526747E2,1.442426472E1,1.400221725E0,8.567436811E1,4.739116582E0,4.739116582E0
6.130997729E1,3.211289561E1,1.189526925E2,1.439430673E1,1.559677588E0,8.176605721E1,4.736527543E0,4.736527543E0
6.230995226E1,3.211290231E1,1.189527074E2,1.490953199E1,1.505741977E0,7.658590863E1,4.733245688E0,4.733245688E0
6.330992627E1,3.211289103E1,1.189527208E2,1.403500982E1,1.337156718E0,1.036572727E2,4.734303537E0,4.734303537E0
6.430990064E1,3.211289035E1,1.189527341E2,1.387993294E1,1.356082900E0,1.036864914E2,4.736964462E0,4.736964462E0
6.530987489E1,3.211289363E1,1.189527510E2,1.416585625E1,1.399805509E0,9.204214614E1,4.740218543E0,4.740218543E0
6.630984974E1,3.211289933E1,1.189527653E2,1.438426223E1,1.407889029E0,8.019406268E1,4.741946325E0,4.741946325E0
6.730982423E1,3.211290151E1,1.189527829E2,1.410371811E1,1.515400237E0,8.227870993E1,4.739149785E0,4.739149785E0
6.830979908E1,3.211290046E1,1.189527975E2,1.428070278E1,1.488947359E0,8.590232036E1,4.737345557E0,4.737345557E0
6.930977345E1,3.211290516E1,1.189528107E2,1.437161129E1,1.334182495E0,7.837511451E1,4.737959048E0,4.737959048E0
7.030974817E1,3.211290844E1,1.189528215E2,1.456413091E1,1.108915694E0,7.843134416E1,4.743331856E0,4.743331856E0
7.130972278E1,3.211291107E1,1.189528386E2,1.429028982E1,1.385477622E0,8.127425083E1,4.743733178E0,4.743733178E0
7.230969656E1,3.211291418E1,1.189528537E2,1.428918813E1,1.379606588E0,8.214982445E1,4.741973004E0,4.741973004E0
7.330967081E1,3.211292013E1,1.189528680E2,1.457561860E1,1.407431284E0,7.678511237E1,4.745437466E0,4.745437466E0
7.430964589E1,3.211292206E1,1.189528820E2,1.439998229E1,1.400797242E0,7.975992848E1,4.744761360E0,4.744761360E0
7.530962062E1,3.211292305E1,1.189528955E2,1.435716463E1,1.271431380E0,8.283804931E1,4.747737945E0,4.747737945E0
7.630959547E1,3.211292253E1,1.189529108E2,1.448169944E1,1.388631983E0,8.447415593E1,4.749217789E0,4.749217789E0
7.730957019E1,3.211292272E1,1.189529271E2,1.449271496E1,1.457268318E0,8.487526520E1,4.750298409E0,4.750298409E0
7.830954337E1,3.211292667E1,1.189529430E2,1.492339872E1,1.498221659E0,8.241353930E1,4.741594262E0,4.741594262E0
7.930951822E1,3.211293216E1,1.189529555E2,1.489377638E1,1.343761827E0,7.566088722E1,4.741206738E0,4.741206738E0
8.030949283E1,3.211293715E1,1.189529696E2,1.494457457E1,1.360565672E0,7.799046712E1,4.745261189E0,4.745261189E0
8.130946708E1,3.211294306E1,1.189529817E2,1.492797651E1,1.307739940E0,7.869435659E1,4.745308448E0,4.745308448E0
8.230944097E1,3.211294586E1,1.189529985E2,1.501146472E1,1.404199777E0,8.120982697E1,4.745309381E0,4.745309381E0
8.330941701E1,3.211294831E1,1.189530132E2,1.483830316E1,1.348214717E0,8.083090511E1,4.746283172E0,4.746283172E0
