"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.694386721E0,3.467665911E0,8.309039116E0
2.000781300E-2,-2.718166113E0,3.151277065E0,8.722832680E0
4.200156300E-2,-2.541263103E0,2.681850672E0,9.132519722E0
6.200156300E-2,-2.270335197E0,2.382450819E0,9.141110420E0
8.200156300E-2,-1.975714326E0,2.273735046E0,8.868764877E0
1.020078130E-1,-1.876287937E0,2.315729141E0,8.869923592E0
1.240015630E-1,-1.809355736E0,2.283177853E0,8.944527626E0
1.440015630E-1,-1.754308224E0,1.988547325E0,8.995753288E0
1.640015630E-1,-1.688477159E0,1.677454352E0,9.078496933E0
1.840015630E-1,-1.877283931E0,1.655216932E0,9.333632469E0
2.040015630E-1,-2.342103720E0,2.133185863E0,9.747474670E0
2.240015630E-1,-2.622589350E0,2.826738358E0,1.001732063E1
2.440046880E-1,-2.500456333E0,3.054675817E0,9.650509834E0
2.660000000E-1,-2.066148281E0,2.847874165E0,9.443593979E0
2.860015630E-1,-1.834475756E0,2.904214621E0,9.268013000E0
3.060015630E-1,-1.780223012E0,3.143673182E0,9.147842407E0
3.260046880E-1,-1.742452145E0,3.117480516E0,9.065922737E0
3.480000000E-1,-1.703809738E0,2.873300552E0,9.182424545E0
3.680062500E-1,-1.682415128E0,2.592096806E0,9.220731735E0
3.900000000E-1,-1.653004766E0,2.452610493E0,9.416778564E0
4.100000000E-1,-1.727138758E0,2.529206038E0,9.459720612E0
4.300000000E-1,-1.881957412E0,2.678498745E0,9.434840202E0
4.500000000E-1,-1.937933803E0,2.627358675E0,9.470762253E0
4.700015630E-1,-1.799616098E0,2.586513758E0,9.443161964E0
4.920093750E-1,-1.608798265E0,2.610867500E0,9.299375534E0
5.140015630E-1,-1.573009610E0,2.863829136E0,9.225807190E0
5.340015630E-1,-1.606825352E0,2.839666843E0,9.347078323E0
5.540015630E-1,-1.524905443E0,2.663798332E0,9.471500397E0
5.740015630E-1,-1.374673963E0,2.348501205E0,9.347250938E0
5.940015630E-1,-1.220678926E0,2.129086971E0,9.119447708E0
6.140062500E-1,-1.146650314E0,2.056456566E0,9.045782089E0
6.360000000E-1,-9.375406504E-1,2.318937540E0,9.665957451E0
6.560015630E-1,-1.069288850E0,2.078531027E0,9.225625038E0
6.780015630E-1,-1.058677793E0,2.359437943E0,9.331909180E0
7.000015630E-1,-1.058083892E0,2.428946257E0,9.790360451E0
7.220000000E-1,-9.222081900E-1,2.437632561E0,9.614433289E0
7.420156250E-1,-7.602260709E-1,2.493273735E0,9.232300758E0
7.640015630E-1,-6.329599023E-1,2.620051622E0,9.136341095E0
7.840015630E-1,-6.059245467E-1,2.617743492E0,9.371365547E0
8.040015630E-1,-5.974969268E-1,2.447774410E0,9.525791168E0
8.240015630E-1,-4.523796141E-1,2.079297066E0,9.730035782E0
8.440015630E-1,-1.165880412E-1,1.645534754E0,9.775199890E0
8.660015630E-1,-5.564124789E-3,1.705418587E0,9.369325638E0
8.880015630E-1,-3.747596145E-1,1.765350223E0,9.641334534E0
9.100000000E-1,-4.016129673E-1,2.081059217E0,9.554004669E0
9.300015630E-1,-3.298252225E-1,2.041191101E0,9.374985695E0
9.520015630E-1,-3.648859262E-1,2.084679127E0,9.288401604E0
9.740015630E-1,-3.478775024E-1,2.215450764E0,9.292863846E0
9.940015630E-1,-4.336186647E-1,2.250520706E0,9.513647079E0
1.014014063E0,-4.865113497E-1,2.197072744E0,9.682448387E0
1.036000000E0,-4.780454636E-1,1.990165830E0,9.716762543E0
1.056001563E0,-5.665735006E-1,1.895231009E0,9.604129791E0
1.076017188E0,-6.940503716E-1,1.911769986E0,9.409643173E0
1.098000000E0,-7.484178543E-1,1.750352979E0,9.505890846E0
1.118001563E0,-7.476517558E-1,1.587441921E0,9.585244179E0
1.140001563E0,-7.738347054E-1,1.503185153E0,9.502749443E0
1.162000000E0,-8.941673040E-1,1.470011115E0,9.546333313E0
1.182000000E0,-9.218921661E-1,1.572712779E0,9.552070618E0
1.202000000E0,-8.715277314E-1,1.598081827E0,9.471442223E0
1.222000000E0,-8.795147538E-1,1.509659052E0,9.430205345E0
1.242014063E0,-8.961305618E-1,1.311830997E0,9.577027321E0
1.264001563E0,-7.542118430E-1,1.181739569E0,9.610411644E0
1.284001563E0,-1.065553784E0,1.154905438E0,9.481411934E0
1.306001563E0,-9.956431389E-1,1.439623952E0,9.625935555E0
1.326001563E0,-1.625720501E0,1.423400760E0,9.682591438E0
1.348000000E0,-9.398295283E-1,1.262472153E0,9.936702728E0
1.368001563E0,-1.015189409E0,1.184315801E0,9.863757133E0
1.388001563E0,-7.310934663E-1,1.422912359E0,9.808642387E0
1.410000000E0,-7.517218590E-1,1.851282954E0,9.667737961E0
1.430001563E0,-7.644494772E-1,1.880578399E0,9.641689301E0
1.452001563E0,-5.237076879E-1,1.674246073E0,9.634526253E0
1.472001563E0,-4.466910064E-1,1.355549097E0,9.865950584E0
1.492001563E0,-1.971577108E-1,1.076643825E0,9.918967247E0
1.514012500E0,1.146631092E-1,9.714042544E-1,9.759924889E0
1.536001563E0,1.432115585E-1,1.117565393E0,9.799983978E0
1.556001563E0,3.895557523E-1,1.171339273E0,9.696804047E0
1.576001563E0,4.976013303E-1,1.141593575E0,9.823906898E0
1.598000000E0,4.698477089E-1,1.235494256E0,9.812817574E0
1.618001563E0,4.388284385E-1,1.368525624E0,9.860164642E0
1.640001563E0,4.890587926E-1,1.471064568E0,9.933351517E0
1.662001563E0,3.327557445E-1,1.608214021E0,9.919493675E0
1.682001563E0,3.541024029E-1,1.693916917E0,9.755423546E0
1.702001563E0,4.166677296E-1,1.540448427E0,9.643088341E0
1.724001563E0,3.186682463E-1,1.224720359E0,9.769319534E0
1.746000000E0,1.941505969E-1,1.078262210E0,9.912760735E0
1.766000000E0,2.289814502E-2,1.148278356E0,9.675323486E0
1.786001563E0,-1.618097275E-1,1.281300187E0,9.208587646E0
1.806001563E0,-1.044542342E-1,1.559774518E0,9.246962547E0
1.828001563E0,-2.017833106E-2,1.926604509E0,9.502164841E0
1.848001563E0,1.648072600E-1,1.879285574E0,9.715047836E0
1.870000000E0,4.107971191E-1,1.308651447E0,9.863709450E0
1.890001563E0,6.933320761E-1,1.152626157E0,1.007397747E1
1.912000000E0,5.722237825E-1,1.469273686E0,9.846136093E0
1.932000000E0,4.007414877E-1,1.688247442E0,9.659254074E0
1.952000000E0,7.119398564E-2,1.685719132E0,9.510008812E0
1.972000000E0,1.764239371E-1,1.319885135E0,9.583596230E0
1.992000000E0,1.111388430E-1,1.458337069E0,9.636824608E0
2.012000000E0,7.618349791E-2,1.617101312E0,9.582064629E0
2.032001563E0,-4.932055250E-3,1.485410690E0,9.690521240E0
2.054017188E0,-1.015524566E-1,9.846585989E-1,9.822911263E0
2.076012500E0,-2.217701077E-1,4.343369007E-1,9.928763390E0
2.098000000E0,-2.490448654E-1,3.972747028E-1,9.739737511E0
2.118001563E0,-4.965957403E-1,7.071322799E-1,9.093542099E0
2.140001563E0,-7.667574286E-1,1.028482080E0,8.575292587E0
2.162001563E0,-7.925094962E-1,1.050192595E0,8.494618416E0
2.184001563E0,-7.327311039E-1,9.635800123E-1,8.809513092E0
2.204001563E0,-7.754723430E-1,6.887926459E-1,9.339426994E0
2.226001563E0,-1.146037340E0,7.651868463E-2,1.014565945E1
2.248001563E0,-1.318477273E0,-3.303615451E-1,1.093672276E1
2.268001563E0,-1.053448677E0,-2.880895138E-1,1.119117832E1
2.288001563E0,-5.994889736E-1,-1.991018057E-1,1.107036686E1
2.310001563E0,-1.152664497E-1,-1.361726224E-1,1.030936527E1
2.330001563E0,1.602391303E-1,-1.384423226E-1,9.830151558E0
2.350001563E0,5.519401431E-1,-7.652826607E-2,9.716302872E0
2.370001563E0,7.901727557E-1,-2.867774665E-1,9.865412712E0
2.392000000E0,9.411319494E-1,-4.526477754E-1,1.005796528E1
2.412000000E0,9.950398207E-1,-3.984717727E-1,9.835515022E0
2.432000000E0,7.319457531E-1,-1.892376989E-1,9.603602409E0
2.452000000E0,3.211390674E-1,1.431732625E-2,9.387099266E0
2.472000000E0,-9.938810021E-2,7.087794691E-2,9.347030640E0
2.492000000E0,-5.790328979E-1,1.200931519E-1,9.579555511E0
2.512000000E0,-1.081594944E0,1.596549600E-1,9.823888779E0
2.532001563E0,-1.306659579E0,6.811982393E-2,9.994164467E0
2.554003125E0,-1.444498539E0,-3.365290165E-2,1.009962368E1
2.574003125E0,-1.440179348E0,-3.567360714E-2,1.008170605E1
2.596001563E0,-1.435218573E0,-2.188300341E-2,9.887660027E0
2.616020313E0,-1.500963330E0,5.337154493E-2,9.850425720E0
2.638000000E0,-1.501825333E0,1.166263521E-1,9.708046913E0
2.658001563E0,-1.540285826E0,1.626237482E-1,9.498956680E0
2.678001563E0,-1.451326728E0,1.202751175E-1,9.296359062E0
2.700001563E0,-1.377661943E0,1.611585021E-1,9.167656898E0
2.720001563E0,-1.400157809E0,4.016991556E-1,9.075163841E0
2.742014063E0,-1.263238311E0,6.956018209E-1,8.888032913E0
2.764001563E0,-8.197172284E-1,8.471834660E-1,8.543402672E0
2.786001563E0,-3.342688680E-1,5.637100339E-1,9.153616905E0
2.806001563E0,2.019652724E-1,-5.512410030E-2,1.010401917E1
2.828001563E0,5.056266785E-1,-8.633491397E-1,1.107951260E1
2.850001563E0,-3.752767742E-1,-2.824966311E-1,1.207664108E1
2.872001563E0,-6.486179829E-1,9.436697960E-1,1.163990879E1
2.892001563E0,1.282334421E-2,4.753639400E-1,1.036523628E1
2.914001563E0,2.908763289E-1,-2.043307424E-1,9.512249947E0
2.934001563E0,6.059245467E-1,-6.184127331E-1,1.085328960E1
2.954003125E0,4.804300964E-1,-6.544215083E-1,1.007613182E1
