"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.460166663E-3,-6.047424316E-1,2.995570679E0,5.304968262E0
2.554416662E-2,-3.760180664E-1,3.257675629E0,5.740562439E0
4.562916665E-2,-2.215393066E-1,3.252436523E0,6.513704681E0
6.571316667E-2,5.433700562E-2,3.262465668E0,8.030650177E0
8.579816663E-2,1.901046753E-1,3.071462860E0,9.932445374E0
1.058821667E-1,-2.335144043E-2,2.808609467E0,1.110929810E1
1.259671666E-1,1.240919495E-1,3.012934570E0,1.084180435E1
1.460521666E-1,6.491999817E-1,3.429069214E0,1.059766205E1
1.661361667E-1,8.963360596E-1,3.527414703E0,1.103849533E1
1.862211666E-1,9.021739197E-1,3.353326721E0,1.163096329E1
2.063051666E-1,7.536827087E-1,2.961142273E0,1.270288422E1
2.263901667E-1,7.051835632E-1,3.514990540E0,1.185429886E1
2.464741666E-1,1.235680389E0,4.121678925E0,1.022882904E1
2.665591667E-1,2.192939758E0,4.180506592E0,1.072325089E1
2.866431666E-1,2.135758667E0,2.596949615E0,1.330852478E1
3.067281666E-1,1.748513947E0,1.346300354E0,1.496243546E1
3.268121667E-1,1.594035187E0,1.471589813E0,1.288146286E1
3.468971666E-1,2.164498901E0,2.014510803E0,1.063104263E1
3.669811666E-1,2.619702301E0,1.702858887E0,9.905651093E0
3.870661667E-1,2.766247559E0,1.234782257E0,1.003962250E1
4.071501666E-1,2.703527985E0,1.133143616E0,9.849517822E0
4.272351667E-1,2.213596802E0,1.296304321E0,8.715476074E0
4.473191666E-1,1.428479462E0,1.566492462E0,7.450307007E0
4.674041666E-1,7.702981567E-1,1.712289276E0,6.271358643E0
4.874881667E-1,3.722758484E-1,2.100282440E0,5.050347748E0
5.075731666E-1,1.868115234E-1,2.646346893E0,4.247567139E0
5.276571666E-1,8.532257080E-2,3.150947571E0,4.084705811E0
5.477421667E-1,-9.939331055E-2,3.301534424E0,5.016368408E0
5.678261666E-1,-1.209484863E-1,3.298540649E0,6.497388611E0
5.879111667E-1,-2.893482971E-1,2.983146515E0,8.450976105E0
6.079951666E-1,-3.576063538E-1,3.235970764E0,9.269923096E0
6.280801666E-1,-1.905537415E-1,3.681145020E0,9.691745911E0
6.481641667E-1,-2.106120300E-1,4.082011414E0,1.063313828E1
6.682491666E-1,-6.921606445E-1,4.220024414E0,1.118968094E1
6.883331666E-1,-1.185235291E0,4.374054108E0,1.141750717E1
7.084181667E-1,-5.375321960E-1,4.666695557E0,1.153621033E1
7.285021666E-1,3.308120728E-2,4.771627350E0,1.207014999E1
7.485871667E-1,-2.778222656E-1,5.021008759E0,1.209305237E1
7.686711667E-1,-7.511380005E-1,5.100942535E0,1.072983719E1
7.887561666E-1,-4.900808716E-1,4.426445160E0,1.139939484E1
8.088401667E-1,-6.408174133E-1,2.265089722E0,1.468206848E1
8.289251666E-1,-1.738933868E0,6.101312256E-1,1.572030945E1
8.490091666E-1,-2.386038208E0,1.022224274E0,1.180999100E1
8.690941667E-1,-2.395767975E0,1.952539673E0,8.466244354E0
8.891781666E-1,-2.729723511E0,2.199675751E0,7.620952148E0
9.092631667E-1,-2.918331299E0,1.776954803E0,7.485483856E0
9.293471667E-1,-2.523302765E0,1.330433350E0,7.353159027E0
9.494321666E-1,-1.580263824E0,1.404529266E0,6.759942627E0
9.695161667E-1,-6.471043396E-1,1.740730133E0,6.764133911E0
9.896011666E-1,-6.289920044E-1,1.629511414E0,7.234006805E0
1.009685167E0,-8.300239563E-1,1.666334839E0,7.221283264E0
1.029770167E0,-8.223898315E-1,2.057022400E0,7.060367889E0
1.049854167E0,-5.776487732E-1,2.540367279E0,6.949448547E0
1.069939167E0,-2.570155334E-1,2.932701416E0,6.700965271E0
1.090023167E0,-1.537303162E-1,3.143163757E0,7.052284698E0
1.110108167E0,-1.362167358E-1,3.129542084E0,8.059091034E0
1.130192167E0,3.742218018E-2,3.049009552E0,9.157955933E0
1.150277167E0,2.745291138E-1,2.846630402E0,1.039917480E1
1.170361167E0,3.228785706E-1,3.066074066E0,1.054033127E1
1.190446167E0,3.519181824E-1,3.088826752E0,1.031969009E1
1.210530167E0,7.882608032E-1,3.189567261E0,1.046982788E1
