"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.845070831E-2,-2.085839844E1,-3.790891266E1,-2.497723389E1
4.853570834E-2,-2.105477905E1,-3.784935760E1,-2.509625244E1
6.862070831E-2,-2.145465088E1,-3.730763245E1,-2.553872681E1
8.870570833E-2,-2.177493286E1,-3.724714661E1,-2.554507446E1
1.087907084E-1,-2.227713013E1,-3.692757416E1,-2.561853027E1
1.288757083E-1,-2.270010376E1,-3.668911743E1,-2.531921387E1
1.489597083E-1,-2.318630981E1,-3.649434662E1,-2.535638428E1
1.690447083E-1,-2.354037476E1,-3.626505280E1,-2.562756348E1
1.891297083E-1,-2.370806885E1,-3.588446045E1,-2.588824463E1
2.092147083E-1,-2.379577637E1,-3.575172424E1,-2.623236084E1
2.292997083E-1,-2.337228394E1,-3.579492188E1,-2.625726318E1
2.493847084E-1,-2.278552246E1,-3.622872162E1,-2.604077148E1
2.694697083E-1,-2.239965820E1,-3.697702789E1,-2.527124023E1
2.895547083E-1,-2.233642578E1,-3.751524353E1,-2.477590942E1
3.096397083E-1,-2.184155273E1,-3.867902374E1,-2.354647827E1
3.297237083E-1,-2.143188477E1,-3.960966492E1,-2.258255005E1
3.498087084E-1,-2.080938721E1,-4.059023285E1,-2.157403564E1
3.698937083E-1,-2.081008911E1,-4.101000977E1,-2.020959473E1
3.899787084E-1,-2.060620117E1,-4.149706268E1,-1.941305542E1
4.100639583E-1,-2.059863281E1,-4.170297241E1,-1.929058838E1
4.301489583E-1,-2.067990112E1,-4.159755707E1,-1.937994385E1
4.502339583E-1,-2.068386841E1,-4.128955841E1,-1.972134399E1
4.703189583E-1,-2.066110229E1,-4.121692657E1,-1.979302979E1
4.904039583E-1,-2.066448975E1,-4.093515778E1,-2.055020142E1
5.104879583E-1,-2.085742188E1,-4.089245605E1,-2.069406128E1
5.305729583E-1,-2.079534912E1,-4.067942047E1,-2.078088379E1
5.506579583E-1,-2.112960815E1,-4.057054138E1,-2.072543335E1
5.707429583E-1,-2.118875122E1,-4.048628235E1,-2.074874878E1
5.908279583E-1,-2.105935669E1,-4.057540131E1,-2.093197632E1
6.109129583E-1,-2.080081177E1,-4.077168274E1,-2.090878296E1
6.309979584E-1,-2.009469604E1,-4.090591431E1,-2.067364502E1
6.510829583E-1,-1.951470947E1,-4.121841431E1,-2.071215820E1
6.711679584E-1,-1.890316772E1,-4.147138214E1,-2.112408447E1
6.912519583E-1,-1.852297974E1,-4.153247833E1,-2.133984375E1
7.113369583E-1,-1.809695435E1,-4.162319183E1,-2.159552002E1
7.314219583E-1,-1.776437378E1,-4.152048492E1,-2.195031738E1
7.515069583E-1,-1.736114502E1,-4.140470123E1,-2.225793457E1
7.715919584E-1,-1.685733032E1,-4.163763428E1,-2.264816284E1
