"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.945500008E-3,-3.594601154E-1,-3.945827484E-1,4.894260168E-1
2.402950003E-2,-6.420228481E-1,-4.497868419E-1,3.028407395E-1
4.411250004E-2,-8.401378393E-1,-3.928649127E-1,2.107134908E-1
6.419650000E-2,-9.346617460E-1,-2.331301421E-1,1.001738161E-1
8.428050001E-2,-9.153116941E-1,-3.911982756E-3,-5.438317358E-2
1.043645000E-1,-7.033475637E-1,2.966970503E-1,-1.820380986E-1
1.244485000E-1,-4.573087990E-1,2.282829136E-1,-2.558432519E-1
1.445325000E-1,-4.610713422E-1,-1.718697697E-1,-2.640230656E-1
1.646165000E-1,-7.103763819E-1,-2.967918515E-1,-2.924264371E-1
1.847005000E-1,-7.809150219E-1,2.373089343E-1,-3.478733599E-1
2.047845000E-1,-3.275671601E-1,7.921041250E-1,-3.559527397E-1
2.248685000E-1,4.120843709E-1,6.810562015E-1,-2.614587843E-1
2.449525000E-1,9.318829775E-1,4.400838166E-2,-1.460546404E-1
2.650365000E-1,1.051705360E0,-3.767924309E-1,-1.717127711E-1
2.851205000E-1,9.064272046E-1,-4.695973098E-1,-2.917177379E-1
3.052045000E-1,6.252690554E-1,-3.086485267E-1,-4.529960155E-1
3.252885000E-1,2.007277459E-1,-3.934694082E-2,-6.391688585E-1
3.453715000E-1,-1.764034480E-1,2.339744419E-1,-8.050544262E-1
3.654555000E-1,-2.532118559E-1,3.538575470E-1,-8.995514512E-1
3.855395000E-1,-8.227696270E-2,3.076109290E-1,-8.024436831E-1
4.056235000E-1,1.774803251E-1,1.253133565E-1,-5.901074409E-1
4.257075000E-1,3.936519921E-1,-8.665497601E-2,-4.362431765E-1
4.457915000E-1,3.749130070E-1,-2.310352921E-1,-4.718025625E-1
4.658755000E-1,1.462382078E-1,-2.463649660E-1,-5.236398578E-1
4.859595000E-1,-2.003631592E-1,-1.815372705E-1,-4.915000498E-1
5.060435000E-1,-4.397121668E-1,-4.291684926E-2,-4.132160842E-1
5.261275001E-1,-4.809330404E-1,7.380686700E-2,-3.157165051E-1
5.462115000E-1,-3.631512523E-1,1.857113689E-1,-2.326784730E-1
5.662955000E-1,-1.848282218E-1,2.040921897E-1,-1.809428930E-1
5.863795000E-1,-2.556414157E-2,2.908615861E-3,-1.100985110E-1
6.064635000E-1,3.510567173E-2,-2.018956691E-1,-2.973768115E-2
6.265475000E-1,4.274332896E-2,1.828270778E-2,6.296578050E-2
6.466305000E-1,2.564477324E-1,6.255062819E-1,7.657412440E-2
6.667145000E-1,5.037806034E-1,1.128256559E0,2.432231233E-2
6.867985000E-1,4.591882229E-1,9.627291560E-1,4.725644365E-2
7.068825000E-1,-6.810766459E-2,1.277348846E-1,8.255586773E-2
7.269665000E-1,-7.518789768E-1,-3.482238948E-1,7.089009881E-2
7.470505000E-1,-9.991371036E-1,1.249871477E-1,8.672708273E-2
7.671345000E-1,-6.351175904E-1,7.683518529E-1,2.093279064E-1
7.872185000E-1,2.975450829E-2,6.220125556E-1,4.135271609E-1
8.073025000E-1,5.796720982E-1,-3.159969673E-2,5.667099953E-1
