"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211656364E1,1.189492851E2,2.197806276E1,7.926238179E-1,1.651746063E2,4.053827286E0,4.053827286E0
1.878729160E-1,3.211655155E1,1.189492882E2,2.174554667E1,8.082449436E-1,1.650295563E2,4.089807034E0,4.089807034E0
1.188020312E0,3.211654416E1,1.189492920E2,2.144206396E1,9.164588451E-1,1.646240387E2,4.212071896E0,4.212071896E0
2.188028645E0,3.211653585E1,1.189492973E2,2.159304882E1,1.074151754E0,1.578596191E2,4.152231693E0,4.152231693E0
3.186046874E0,3.211652548E1,1.189493029E2,2.141427845E1,1.207154036E0,1.599180756E2,4.108959675E0,4.108959675E0
4.188919270E0,3.211651094E1,1.189493108E2,2.138662157E1,1.378436804E0,1.613306580E2,4.130004406E0,4.130004406E0
5.188202603E0,3.211649423E1,1.189493201E2,2.140493584E1,1.427481532E0,1.674833221E2,4.329146385E0,4.329146385E0
6.188939582E0,3.211648023E1,1.189493269E2,2.135271676E1,1.370436668E0,1.700213165E2,4.264302254E0,4.264302254E0
7.190163540E0,3.211646589E1,1.189493327E2,2.135982027E1,1.391725659E0,1.610950775E2,4.488665581E0,4.488665581E0
8.183579165E0,3.211645181E1,1.189493375E2,2.114906386E1,1.382411242E0,1.706493835E2,4.523842812E0,4.523842812E0
9.185429165E0,3.211643769E1,1.189493436E2,2.078414345E1,1.129055500E0,1.680675812E2,4.468509674E0,4.468509674E0
1.018905260E1,3.211642519E1,1.189493509E2,2.045740516E1,1.049899817E0,1.637316132E2,4.097272396E0,4.097272396E0
1.119032864E1,3.211641371E1,1.189493574E2,2.030865027E1,1.228464365E0,1.620748749E2,3.921712160E0,3.921712160E0
1.218285052E1,3.211640284E1,1.189493655E2,2.051707899E1,1.268225670E0,1.607238464E2,3.541356564E0,3.541356564E0
1.318851146E1,3.211639167E1,1.189493724E2,2.071882958E1,1.310850501E0,1.647301025E2,3.433341265E0,3.433341265E0
1.418515000E1,3.211638041E1,1.189493795E2,2.081843155E1,1.332412362E0,1.653379364E2,3.542670727E0,3.542670727E0
1.518821666E1,3.211635219E1,1.189493588E2,1.998737998E1,1.372031927E0,1.578950500E2,3.717749119E0,3.717749119E0
1.619181250E1,3.211632956E1,1.189493563E2,1.781458219E1,1.416577101E0,1.517184601E2,3.884088993E0,3.884088993E0
1.718415833E1,3.211631086E1,1.189493769E2,1.739177860E1,1.358644843E0,1.473725739E2,3.966522932E0,3.966522932E0
1.818761041E1,3.211630178E1,1.189493987E2,1.583900565E1,1.332832575E0,9.944720459E1,4.248995781E0,4.248995781E0
1.918809896E1,3.211630530E1,1.189494291E2,1.524028369E1,1.420259118E0,9.609277344E1,4.469898224E0,4.469898224E0
2.018794843E1,3.211631063E1,1.189494635E2,1.536357979E1,1.414590597E0,1.148394775E2,4.500051975E0,4.500051975E0
2.118786979E1,3.211630533E1,1.189494823E2,1.824857567E1,1.464356303E0,1.309782867E2,4.644816399E0,4.644816399E0
2.218284166E1,3.211629786E1,1.189494997E2,1.915811502E1,1.521531224E0,1.480758057E2,4.683030128E0,4.683030128E0
2.318939948E1,3.211628972E1,1.189495209E2,1.947663778E1,1.595384598E0,1.497612000E2,4.532853603E0,4.532853603E0
2.418301354E1,3.211627647E1,1.189495248E2,1.995407663E1,1.508644700E0,1.585100861E2,4.241127968E0,4.241127968E0
2.518556875E1,3.211626665E1,1.189495252E2,2.024569206E1,1.489461064E0,1.757943268E2,4.107052803E0,4.107052803E0
2.619469114E1,3.211625686E1,1.189495259E2,2.028964156E1,1.423266530E0,1.725951233E2,3.805392742E0,3.805392742E0
2.719082604E1,3.211624695E1,1.189495261E2,2.019933430E1,1.421205759E0,1.718430939E2,3.812176228E0,3.812176228E0
2.819015729E1,3.211623560E1,1.189495336E2,2.041113184E1,1.377354503E0,1.687866821E2,3.744633913E0,3.744633913E0
2.918443958E1,3.211622381E1,1.189495367E2,2.049538318E1,1.430377007E0,1.572092133E2,3.780911922E0,3.780911922E0
3.018500624E1,3.211620998E1,1.189495436E2,2.061963688E1,1.433770061E0,1.590541840E2,3.733032227E0,3.733032227E0
3.119245104E1,3.211619636E1,1.189495467E2,2.058631827E1,1.413589001E0,1.604450073E2,3.871794224E0,3.871794224E0
3.218837291E1,3.211617986E1,1.189495444E2,2.047252342E1,1.344033360E0,1.667715302E2,3.784076691E0,3.784076691E0
3.318839843E1,3.211616675E1,1.189495470E2,2.025116227E1,1.149703264E0,1.663878632E2,3.718917131E0,3.718917131E0
3.418830468E1,3.211615458E1,1.189495469E2,2.032170101E1,1.003555894E0,1.740649414E2,3.648153305E0,3.648153305E0
3.518273333E1,3.211614469E1,1.189495484E2,2.018853778E1,1.194212914E0,1.758134766E2,3.926810503E0,3.926810503E0
3.618385468E1,3.211613292E1,1.189495524E2,2.010167503E1,1.310206056E0,1.866295929E2,3.902070284E0,3.902070284E0
3.718493072E1,3.211611993E1,1.189495573E2,1.998765087E1,1.336878538E0,1.772686920E2,4.084388256E0,4.084388256E0
3.818862708E1,3.211610404E1,1.189495628E2,1.994137918E1,1.377612352E0,1.558770599E2,4.210283756E0,4.210283756E0
3.918765885E1,3.211608946E1,1.189495748E2,1.977093425E1,1.441235662E0,1.539900055E2,4.465020657E0,4.465020657E0
4.018475676E1,3.211607394E1,1.189495855E2,2.003334519E1,1.484586954E0,1.561970062E2,4.395621777E0,4.395621777E0
4.118768437E1,3.211606036E1,1.189495914E2,2.008638084E1,1.468784213E0,1.639226074E2,4.570497036E0,4.570497036E0
4.218360676E1,3.211604660E1,1.189495962E2,2.019365364E1,1.455985785E0,1.642010956E2,4.686854362E0,4.686854362E0
4.318466926E1,3.211603350E1,1.189496029E2,2.016015918E1,1.403533340E0,1.532869873E2,4.750015259E0,4.750015259E0
4.419265572E1,3.211601939E1,1.189496111E2,2.010717812E1,1.409685016E0,1.479779968E2,4.725480556E0,4.725480556E0
4.519059478E1,3.211600753E1,1.189496190E2,2.026106767E1,1.435629606E0,1.555283661E2,4.899137497E0,4.899137497E0
