"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.528572500E-1,-2.788599730E0,-1.986306906E0,-1.466739774E0
1.748510000E-1,-2.741371155E0,-2.200999737E0,-1.492815018E0
1.948525630E-1,-2.072351694E0,-2.339945555E0,-1.258312583E0
2.168525630E-1,-6.152459979E-1,-1.955903172E0,-4.493001103E-1
2.388525630E-1,7.429517508E-1,-1.600798488E0,8.602727652E-1
2.588525630E-1,1.383731961E0,-1.473092794E0,1.483878970E0
2.808525630E-1,1.447872758E0,-7.063521743E-1,1.581268311E0
3.008541250E-1,1.357098222E0,8.004079759E-2,1.399736643E0
3.228525630E-1,1.488451719E0,1.451939344E0,9.167341590E-1
3.428556880E-1,2.003009558E0,2.529540539E0,2.856580317E-1
3.648510000E-1,2.759400368E0,2.889270306E0,-3.216292858E-1
3.848775630E-1,2.520691872E0,1.055191159E0,-7.958526611E-1
4.068525630E-1,1.006182313E0,-2.027548999E-1,-1.179877520E0
4.268541250E-1,1.141445339E-2,7.180633545E-1,-9.625839591E-1
4.488525630E-1,-5.118701458E-1,8.294153810E-1,-5.555906296E-1
4.688525630E-1,-6.246184111E-1,1.006932855E0,-2.755002081E-1
4.888572500E-1,-6.514790654E-1,6.730687618E-1,2.544690110E-2
5.108510000E-1,-4.757592976E-1,1.375668496E-1,1.378984600E-1
5.308525630E-1,-2.319717109E-1,-1.397659630E-1,2.666513920E-1
5.508666250E-1,-1.801354289E-1,-3.199886680E-1,3.295705318E-1
5.728510000E-1,-3.271096051E-1,-5.139122009E-1,1.667662114E-1
5.928510000E-1,-3.228335381E-1,-4.357563555E-1,2.242748067E-2
6.128510000E-1,-1.200611964E-1,-1.722814441E-1,-1.286307629E-2
6.328510000E-1,1.275312006E-1,-1.523672417E-2,-1.237263903E-1
6.528510000E-1,4.103094637E-1,1.523323357E-1,-2.034879327E-1
6.748494380E-1,6.317917109E-1,1.289100200E-1,-1.550899595E-1
6.948510000E-1,6.437646747E-1,4.663519561E-2,-7.864453644E-2
7.148510000E-1,4.707676470E-1,3.855432197E-2,-1.860171854E-1
7.348510000E-1,1.873087287E-1,-2.811725438E-2,-4.559672773E-1
7.548510000E-1,-6.625270098E-2,9.780824929E-2,-7.657632232E-1
7.748510000E-1,-2.239431888E-1,1.200437471E-1,-1.050356627E0
7.948510000E-1,-2.206270695E-1,3.755948693E-2,-1.014333010E0
8.148510000E-1,-1.338667516E-2,-2.426182181E-1,-7.868816853E-1
8.348525630E-1,2.780483961E-1,-4.349360466E-1,-4.953942597E-1
8.568525630E-1,3.565009534E-1,-1.539205909E-1,-5.804964900E-2
8.768525630E-1,3.137578368E-1,2.162462845E-2,1.230631620E-1
8.988525630E-1,5.469861999E-2,1.138652787E-1,2.139773592E-2
9.208525630E-1,-1.956863105E-1,8.410741389E-2,-1.664694995E-1
9.428510000E-1,-3.054675162E-1,-1.708851904E-1,-2.229658067E-1
9.628510000E-1,-2.279050946E-1,-4.448146224E-1,-2.364571989E-1
9.828510000E-1,-2.574360557E-2,-7.118325233E-1,-2.264913768E-1
1.002854125E0,-3.234967887E-1,-1.446877979E-2,-2.317797244E-1
1.024851000E0,-4.758814573E-1,3.433760703E-1,1.125737354E-1
1.044852563E0,-5.387656689E-1,4.684987366E-1,2.008001357E-1
1.066851000E0,-4.583583772E-1,3.746349216E-1,2.035053968E-1
1.086852563E0,-3.053977191E-1,1.201135591E-1,1.104618907E-1
1.108852563E0,-7.538077235E-2,-1.544616371E-1,-1.348441392E-1
1.130851000E0,5.501277745E-2,-5.148721337E-1,-4.902280867E-1
1.150851000E0,6.560692936E-2,-9.485340714E-1,-7.507010102E-1
1.170851000E0,1.340761930E-1,-1.090551496E0,-8.678649664E-1
1.190851000E0,1.539554894E-1,-9.778206944E-1,-7.409271598E-1
1.210851000E0,6.469935179E-2,-8.763821721E-1,-4.682020247E-1
1.230851000E0,2.492330223E-2,-6.437821388E-1,-1.852143407E-1
1.250851000E0,1.122770309E-1,-3.525390625E-1,5.003859103E-2
1.270852563E0,2.589893937E-1,-1.791056842E-1,2.790083289E-1
1.292851000E0,5.922949314E-1,5.398303270E-2,5.062152743E-1
1.312851000E0,9.961815476E-1,7.083069682E-1,6.194522381E-1
1.332851000E0,1.265625477E0,1.294528127E0,7.715751529E-1
1.352863500E0,1.115754128E0,1.357325077E0,9.424952269E-1
1.374851000E0,5.836206675E-1,9.619731307E-1,8.762599826E-1
1.394851000E0,8.653342724E-2,3.304257393E-1,5.411393046E-1
1.414851000E0,-1.747598201E-1,-9.372418374E-2,1.070584953E-1
1.434851000E0,-2.359685153E-1,-1.655619293E-1,-7.307693362E-2
1.454851000E0,-1.750390679E-1,-2.492330223E-2,2.792526782E-2
1.474851000E0,-1.183507740E-1,1.672548950E-1,2.175727487E-1
1.494851000E0,-1.345823407E-1,3.178069890E-1,3.780034184E-1
1.514851000E0,-1.573065221E-1,3.843215108E-1,4.794244766E-1
1.534851000E0,-1.420174390E-1,4.090702832E-1,5.071926713E-1
1.554851000E0,-1.563989520E-1,4.669802785E-1,5.261818767E-1
1.574851000E0,-2.591115832E-1,3.616147637E-1,5.225166678E-1
1.594851000E0,-3.870267570E-1,6.784094870E-2,4.971919358E-1
1.614851000E0,-4.087386429E-1,-2.459867001E-1,4.247956872E-1
1.634851000E0,-3.360282481E-1,-2.881014943E-1,4.185648561E-1
1.654851000E0,-2.082352340E-1,-1.486147791E-1,4.006228745E-1
1.674851000E0,-1.081231460E-1,-1.532399096E-2,3.812671602E-1
1.694851000E0,-8.133234084E-2,1.215796322E-1,3.804468811E-1
1.714851000E0,-1.494176388E-1,2.936516404E-1,3.906745017E-1
1.734851000E0,-2.703514993E-1,2.455503643E-1,3.864682615E-1
1.754851000E0,-3.688927889E-1,1.059414819E-1,3.444232643E-1
1.774851000E0,-4.501378536E-1,-1.839053482E-1,1.559975296E-1
1.794851000E0,-5.153433681E-1,-3.526088595E-1,-1.379682720E-1
1.814851000E0,-4.799306393E-1,-2.808758318E-1,-4.574682415E-1
